ticker,commodity,year,date,open,high,low,close,volume
CL=F,Crude Oil,2012,03-01-2012,99.69999695,103.1800003,99.65000153,102.9599991,275481
CL=F,Crude Oil,2012,04-01-2012,102.9899979,103.7399979,101.8799973,103.2200012,271711
CL=F,Crude Oil,2012,05-01-2012,103.2900009,103.7300034,101.3000031,101.8099976,295615
CL=F,Crude Oil,2012,06-01-2012,101.3499985,102.8000031,100.8799973,101.5599976,290458
CL=F,Crude Oil,2012,09-01-2012,101.9199982,102.1500015,100.0999985,101.3099976,311866
CL=F,Crude Oil,2012,10-01-2012,101.3000031,103.4100037,101.3000031,102.2399979,291273
CL=F,Crude Oil,2012,11-01-2012,102.1999969,102.4599991,100.5500031,100.8700027,311641
CL=F,Crude Oil,2012,12-01-2012,101,102.9800034,98.5,99.09999847,370509
CL=F,Crude Oil,2012,13-01-2012,99.19999695,100.1900024,97.69999695,98.69999695,335624
CL=F,Crude Oil,2012,17-01-2012,98.94999695,101.0100021,98.59999847,100.7099991,341887
CL=F,Crude Oil,2012,18-01-2012,100.9100037,102.0599976,99.83999634,100.5899963,269387
CL=F,Crude Oil,2012,19-01-2012,101.1399994,102.0599976,99.98000336,100.3899994,120170
CL=F,Crude Oil,2012,20-01-2012,100.3899994,100.7399979,97.91000366,98.45999908,304986
CL=F,Crude Oil,2012,23-01-2012,98.33999634,100.2399979,97.40000153,99.58000183,238960
CL=F,Crude Oil,2012,24-01-2012,99.87999725,100.1800003,98.25,98.94999695,242477
CL=F,Crude Oil,2012,25-01-2012,99.19999695,100.4000015,97.52999878,99.40000153,322794
CL=F,Crude Oil,2012,26-01-2012,99.95999908,101.3899994,99.23000336,99.69999695,260744
CL=F,Crude Oil,2012,27-01-2012,99.93000031,100.6299973,99.12999725,99.55999756,253456
CL=F,Crude Oil,2012,30-01-2012,100,100.0500031,98.43000031,98.77999878,215829
CL=F,Crude Oil,2012,31-01-2012,98.87999725,101.2900009,97.86000061,98.48000336,373891
CL=F,Crude Oil,2012,01-02-2012,98.37999725,99.48999786,97.11000061,97.61000061,293554
CL=F,Crude Oil,2012,02-02-2012,97.11000061,97.98999786,95.44000244,96.36000061,331240
CL=F,Crude Oil,2012,03-02-2012,96.61000061,98.02999878,96.01000214,97.83999634,318638
CL=F,Crude Oil,2012,06-02-2012,97.73999786,97.75,96.37999725,96.91000366,257715
CL=F,Crude Oil,2012,07-02-2012,97.12999725,99.12999725,95.83999634,98.41000366,415728
CL=F,Crude Oil,2012,08-02-2012,98.76999664,100.0899963,98.09999847,98.70999908,364737
CL=F,Crude Oil,2012,09-02-2012,99.09999847,100.1800003,98.66000366,99.83999634,295425
