,ticker,commodity,year,date,open,high,low,close,volume
5613,CL=F,Crude Oil,2023,03-01-2023,80.56999969,81.5,76.59999847,76.93000031,338520
5614,CL=F,Crude Oil,2023,04-01-2023,77.25,77.41999817,72.73000336,72.83999634,352434
5615,CL=F,Crude Oil,2023,05-01-2023,73.25,74.91999817,72.45999908,73.66999817,300731
5616,CL=F,Crude Oil,2023,06-01-2023,73.97000122,75.47000122,73.23999786,73.76999664,258128
5617,CL=F,Crude Oil,2023,09-01-2023,73.47000122,76.73999786,73.47000122,74.62999725,329290
5618,CL=F,Crude Oil,2023,10-01-2023,74.86000061,75.91999817,73.83999634,75.12000275,307430
5619,CL=F,Crude Oil,2023,11-01-2023,74.77999878,77.83999634,74.30999756,77.41000366,350891
5620,CL=F,Crude Oil,2023,12-01-2023,77.69999695,79.16000366,77.09999847,78.38999939,307705
5621,CL=F,Crude Oil,2023,13-01-2023,78.31999969,80.11000061,77.97000122,79.86000061,283539
5622,CL=F,Crude Oil,2023,17-01-2023,80.09999847,81.23000336,78.52999878,80.18000031,312275
5623,CL=F,Crude Oil,2023,18-01-2023,80.97000122,82.37999725,78.94000244,79.48000336,92549
5624,CL=F,Crude Oil,2023,19-01-2023,79.13999939,81.18000031,78.12999725,80.33000183,58863
5625,CL=F,Crude Oil,2023,20-01-2023,80.59999847,81.63999939,79.69000244,81.30999756,300145
5626,CL=F,Crude Oil,2023,23-01-2023,81.79000092,82.63999939,81.05000305,81.62000275,297076
5627,CL=F,Crude Oil,2023,24-01-2023,81.62000275,82.22000122,79.66000366,80.12999725,288207
5628,CL=F,Crude Oil,2023,25-01-2023,80.26000214,81.23000336,79.44999695,80.15000153,297234
5629,CL=F,Crude Oil,2023,26-01-2023,80.48000336,82.13999939,79.91999817,81.01000214,291060
5630,CL=F,Crude Oil,2023,27-01-2023,81.22000122,82.48000336,79.04000092,79.68000031,367588
5631,CL=F,Crude Oil,2023,30-01-2023,80.04000092,80.48999786,77.66000366,77.90000153,327426
5632,CL=F,Crude Oil,2023,31-01-2023,77.91000366,79.25,76.55000305,78.87000275,312734
5633,CL=F,Crude Oil,2023,01-02-2023,79.05999756,79.73000336,76.05000305,76.41000366,360859
5634,CL=F,Crude Oil,2023,02-02-2023,76.79000092,77.23999786,74.97000122,75.87999725,339755
5635,CL=F,Crude Oil,2023,03-02-2023,75.91999817,78,73.09999847,73.38999939,413414
5636,CL=F,Crude Oil,2023,06-02-2023,73.23000336,74.51000214,72.25,74.11000061,380028
5637,CL=F,Crude Oil,2023,07-02-2023,74.56999969,77.59999847,74.34999847,77.13999939,408279
5638,CL=F,Crude Oil,2023,08-02-2023,77.48999786,78.56999969,77.08000183,78.47000122,353468
5639,CL=F,Crude Oil,2023,09-02-2023,78.44999695,78.83999634,76.51999664,78.05999756,324156
5640,CL=F,Crude Oil,2023,10-02-2023,77.68000031,80.33000183,77.47000122,79.72000122,356062
5641,CL=F,Crude Oil,2023,13-02-2023,79.94000244,80.62000275,78.44999695,80.13999939,301299
5642,CL=F,Crude Oil,2023,14-02-2023,79.05999756,79.61000061,77.45999908,79.05999756,299938
5643,CL=F,Crude Oil,2023,15-02-2023,78.83000183,79.15000153,77.25,78.58999634,264486
5644,CL=F,Crude Oil,2023,16-02-2023,78.54000092,79.54000092,77.91999817,78.48999786,117600
5645,CL=F,Crude Oil,2023,17-02-2023,78.06999969,78.25,75.05999756,76.33999634,93267
5646,CL=F,Crude Oil,2023,21-02-2023,76.52999878,77.51000214,75.69000244,76.16000366,402351
5647,CL=F,Crude Oil,2023,22-02-2023,76.11000061,76.55000305,73.80000305,73.94999695,332018
5648,CL=F,Crude Oil,2023,23-02-2023,73.91999817,75.98999786,73.83000183,75.38999939,333838
5649,CL=F,Crude Oil,2023,24-02-2023,75.59999847,76.62999725,74.08999634,76.31999969,329254
5650,CL=F,Crude Oil,2023,27-02-2023,76.41999817,76.81999969,74.98999786,75.68000031,266091
5651,CL=F,Crude Oil,2023,28-02-2023,75.76000214,77.83000183,75.55000305,77.05000305,300093
5652,CL=F,Crude Oil,2023,01-03-2023,76.84999847,77.84999847,76.12000275,77.69000244,342121
5653,CL=F,Crude Oil,2023,02-03-2023,77.73999786,78.58999634,77.23000336,78.16000366,260331
5654,CL=F,Crude Oil,2023,03-03-2023,77.88999939,79.90000153,75.83000183,79.68000031,374201
5655,CL=F,Crude Oil,2023,06-03-2023,79.91999817,80.62999725,78.31999969,80.45999908,292351
5656,CL=F,Crude Oil,2023,07-03-2023,80.5,80.94000244,77.05999756,77.58000183,398241
5657,CL=F,Crude Oil,2023,08-03-2023,77.31999969,77.73000336,76.11000061,76.66000366,335930
5658,CL=F,Crude Oil,2023,09-03-2023,76.5,78.05999756,75.43000031,75.72000122,349960
5659,CL=F,Crude Oil,2023,10-03-2023,75.65000153,77.11000061,74.76999664,76.68000031,371834
5660,CL=F,Crude Oil,2023,13-03-2023,76.59999847,77.47000122,72.30000305,74.80000305,457423
5661,CL=F,Crude Oil,2023,14-03-2023,74.69999695,74.90000153,70.77999878,71.33000183,432858
5662,CL=F,Crude Oil,2023,15-03-2023,71.55999756,72.55999756,65.65000153,67.61000061,555164
5663,CL=F,Crude Oil,2023,16-03-2023,68.22000122,69.37999725,65.70999908,68.34999847,327120
5664,CL=F,Crude Oil,2023,17-03-2023,68.26000214,69.63999939,65.16999817,66.73999786,152255
5665,CL=F,Crude Oil,2023,20-03-2023,66.62000275,67.69999695,64.12000275,67.63999939,76873
5666,CL=F,Crude Oil,2023,21-03-2023,67.62000275,69.59999847,66.76999664,69.33000183,409495
5667,CL=F,Crude Oil,2023,22-03-2023,69.48000336,71.30999756,68.88999939,70.90000153,337639
5668,CL=F,Crude Oil,2023,23-03-2023,69.94999695,71.66999817,69.13999939,69.95999908,335241
5669,CL=F,Crude Oil,2023,24-03-2023,69.51000214,70.37999725,66.81999969,69.26000214,380852
5670,CL=F,Crude Oil,2023,27-03-2023,69.41999817,73.09999847,69.12999725,72.80999756,353598
5671,CL=F,Crude Oil,2023,28-03-2023,72.86000061,73.93000031,72.19000244,73.19999695,328472
5672,CL=F,Crude Oil,2023,29-03-2023,73.61000061,74.37000275,72.76000214,72.97000122,312669
5673,CL=F,Crude Oil,2023,30-03-2023,72.98000336,74.62999725,72.61000061,74.37000275,269743
5674,CL=F,Crude Oil,2023,31-03-2023,74.37000275,75.72000122,73.76999664,75.66999817,304361
5675,CL=F,Crude Oil,2023,03-04-2023,80.09999847,81.69000244,79,80.41999817,547126
5676,CL=F,Crude Oil,2023,04-04-2023,80.44000244,81.80999756,79.61000061,80.70999908,343570
5677,CL=F,Crude Oil,2023,05-04-2023,81.01000214,81.23999786,79.72000122,80.61000061,254974
5678,CL=F,Crude Oil,2023,06-04-2023,80.37000275,80.95999908,79.65000153,80.69999695,0
5679,CL=F,Crude Oil,2023,10-04-2023,80.5,81.22000122,79.61000061,79.73999786,264906
5680,CL=F,Crude Oil,2023,11-04-2023,79.87999725,81.58999634,79.37000275,81.52999878,309683
5681,CL=F,Crude Oil,2023,12-04-2023,81.44000244,83.52999878,81.27999878,83.26000214,356133
5682,CL=F,Crude Oil,2023,13-04-2023,83.22000122,83.44000244,82.11000061,82.16000366,261230
5683,CL=F,Crude Oil,2023,14-04-2023,82.40000153,83.12000275,81.76000214,82.51999664,275129
5684,CL=F,Crude Oil,2023,17-04-2023,82.48000336,82.70999908,80.47000122,80.83000183,217048
5685,CL=F,Crude Oil,2023,18-04-2023,81,81.48000336,79.87000275,80.86000061,96290
5686,CL=F,Crude Oil,2023,19-04-2023,80.91999817,81.18000031,78.45999908,79.16000366,78310
5687,CL=F,Crude Oil,2023,20-04-2023,78.87000275,78.88999939,76.97000122,77.29000092,361413
5688,CL=F,Crude Oil,2023,21-04-2023,77.12999725,78.38999939,76.72000122,77.87000275,291114
5689,CL=F,Crude Oil,2023,24-04-2023,77.97000122,79.18000031,76.72000122,78.76000214,306720
5690,CL=F,Crude Oil,2023,25-04-2023,78.73999786,79.06999969,76.5,77.06999969,361646
5691,CL=F,Crude Oil,2023,26-04-2023,77.08000183,77.93000031,74.05000305,74.30000305,497778
5692,CL=F,Crude Oil,2023,27-04-2023,74.37999725,75.27999878,74.02999878,74.76000214,345880
5693,CL=F,Crude Oil,2023,28-04-2023,74.91000366,76.91999817,73.93000031,76.77999878,328399
5694,CL=F,Crude Oil,2023,01-05-2023,76.66000366,76.69000244,74.52999878,75.66000366,215017
5695,CL=F,Crude Oil,2023,02-05-2023,75.76000214,76.11000061,71.41999817,71.66000366,417820
5696,CL=F,Crude Oil,2023,03-05-2023,71.55999756,71.79000092,67.94999695,68.59999847,490523
5697,CL=F,Crude Oil,2023,04-05-2023,68.16000366,69.83999634,63.63999939,68.55999756,412495
5698,CL=F,Crude Oil,2023,05-05-2023,68.69999695,71.80999756,68.48000336,71.33999634,330585
5699,CL=F,Crude Oil,2023,08-05-2023,71.34999847,73.69000244,71.04000092,73.16000366,290076
5700,CL=F,Crude Oil,2023,09-05-2023,72.83999634,73.77999878,71.33999634,73.70999908,317493
5701,CL=F,Crude Oil,2023,10-05-2023,73.58000183,73.88999939,71.80000305,72.55999756,351506
5702,CL=F,Crude Oil,2023,11-05-2023,72.76999664,73.5,70.62999725,70.87000275,365892
5703,CL=F,Crude Oil,2023,12-05-2023,71.41999817,71.77999878,69.93000031,70.04000092,275435
5704,CL=F,Crude Oil,2023,15-05-2023,70.04000092,71.69000244,69.41000366,71.11000061,259013
5705,CL=F,Crude Oil,2023,16-05-2023,71.31999969,71.79000092,70.44999695,70.86000061,232328
