,Unnamed: 0,ticker,commodity,year,date,open,high,low,close,volume
0,4354,CL=F,Crude Oil,2018,02-01-2018,60.20000076,60.74000168,60.09999847,60.36999893,510313
1,4355,CL=F,Crude Oil,2018,03-01-2018,60.38999939,61.97000122,60.27999878,61.63000107,673859
2,4356,CL=F,Crude Oil,2018,04-01-2018,61.95999908,62.20999908,61.59000015,62.00999832,654363
3,4357,CL=F,Crude Oil,2018,05-01-2018,61.90000153,62.04000092,61.09000015,61.43999863,563036
4,4358,CL=F,Crude Oil,2018,08-01-2018,61.61000061,61.97000122,61.34000015,61.72999954,616474
5,4359,CL=F,Crude Oil,2018,09-01-2018,61.91999817,63.47999954,61.79999924,62.95999908,844720
6,4360,CL=F,Crude Oil,2018,10-01-2018,63.40999985,63.66999817,63.09000015,63.56999969,697844
7,4361,CL=F,Crude Oil,2018,11-01-2018,63.5,64.76999664,63.43000031,63.79999924,876642
8,4362,CL=F,Crude Oil,2018,12-01-2018,63.56999969,64.5,63.06000137,64.30000305,678727
9,4363,CL=F,Crude Oil,2018,16-01-2018,64.43000031,64.88999939,63.38999939,63.72999954,867771
10,4364,CL=F,Crude Oil,2018,17-01-2018,63.88999939,64.16999817,63.31000137,63.97000122,444384
11,4365,CL=F,Crude Oil,2018,18-01-2018,64.06999969,64.34999847,63.47000122,63.95000076,204504
12,4366,CL=F,Crude Oil,2018,19-01-2018,63.74000168,63.77000046,62.84999847,63.36999893,142711
13,4367,CL=F,Crude Oil,2018,22-01-2018,63.61000061,64.13999939,63.16999817,63.49000168,625662
14,4368,CL=F,Crude Oil,2018,23-01-2018,63.88000107,64.87999725,63.70000076,64.47000122,662456
15,4369,CL=F,Crude Oil,2018,24-01-2018,64.41999817,66.05000305,64.33999634,65.61000061,887018
16,4370,CL=F,Crude Oil,2018,25-01-2018,65.87999725,66.66000366,65.08000183,65.51000214,771758
17,4371,CL=F,Crude Oil,2018,26-01-2018,65.25,66.34999847,64.91000366,66.13999939,678186
18,4372,CL=F,Crude Oil,2018,29-01-2018,66.18000031,66.45999908,64.98000336,65.55999756,656168
19,4373,CL=F,Crude Oil,2018,30-01-2018,65.52999878,65.55999756,63.88999939,64.5,688380
20,4374,CL=F,Crude Oil,2018,31-01-2018,64.02999878,64.94000244,63.66999817,64.73000336,613258
21,4375,CL=F,Crude Oil,2018,01-02-2018,64.76000214,66.25,64.62999725,65.80000305,685750
22,4376,CL=F,Crude Oil,2018,02-02-2018,65.98999786,66.30000305,64.47000122,65.44999695,857572
23,4377,CL=F,Crude Oil,2018,05-02-2018,65.09999847,65.40000153,63.41999817,64.15000153,891063
24,4378,CL=F,Crude Oil,2018,06-02-2018,63.43000031,64.29000092,63.11999893,63.38999939,797814
25,4379,CL=F,Crude Oil,2018,07-02-2018,63.91999817,64.18000031,61.25,61.79000092,1029408
26,4380,CL=F,Crude Oil,2018,08-02-2018,61.70000076,62.09000015,60.27000046,61.15000153,929578
27,4381,CL=F,Crude Oil,2018,09-02-2018,60.43000031,60.77000046,58.06999969,59.20000076,933307
28,4382,CL=F,Crude Oil,2018,12-02-2018,59.11999893,60.83000183,59.09999847,59.29000092,736917
29,4383,CL=F,Crude Oil,2018,13-02-2018,59.34999847,59.72999954,58.38999939,59.18999863,580600
30,4384,CL=F,Crude Oil,2018,14-02-2018,58.97999954,60.90000153,58.20000076,60.59999847,650324
31,4385,CL=F,Crude Oil,2018,15-02-2018,60.70999908,61.63999939,59.72000122,61.34000015,340401
32,4386,CL=F,Crude Oil,2018,16-02-2018,61.45000076,61.99000168,60.88000107,61.68000031,181179
33,4387,CL=F,Crude Oil,2018,20-02-2018,61.63000107,62.74000168,61.58000183,61.90000153,794481
34,4388,CL=F,Crude Oil,2018,21-02-2018,61.63000107,61.86000061,60.91999817,61.68000031,466924
35,4389,CL=F,Crude Oil,2018,22-02-2018,61.34000015,63.09000015,60.75,62.77000046,592603
36,4390,CL=F,Crude Oil,2018,23-02-2018,62.59999847,63.72999954,62.33000183,63.54999924,460597
37,4391,CL=F,Crude Oil,2018,26-02-2018,63.59999847,64.23999786,63.06000137,63.90999985,469853
38,4392,CL=F,Crude Oil,2018,27-02-2018,64.05999756,64.08000183,62.63999939,63.00999832,562670
39,4393,CL=F,Crude Oil,2018,28-02-2018,62.79000092,63.43999863,61.36000061,61.63999939,768409
40,4394,CL=F,Crude Oil,2018,01-03-2018,61.54999924,61.83000183,60.18000031,60.99000168,812505
41,4395,CL=F,Crude Oil,2018,02-03-2018,61.34000015,61.59999847,60.13000107,61.25,613514
42,4396,CL=F,Crude Oil,2018,05-03-2018,61.54999924,62.79000092,61.09999847,62.56999969,599266
43,4397,CL=F,Crude Oil,2018,06-03-2018,62.58000183,63.27999878,62.16999817,62.59999847,634953
44,4398,CL=F,Crude Oil,2018,07-03-2018,62.29999924,62.58000183,60.58000183,61.15000153,879119
45,4399,CL=F,Crude Oil,2018,08-03-2018,61.33000183,61.40000153,59.95000076,60.11999893,720510
46,4400,CL=F,Crude Oil,2018,09-03-2018,60.27000046,62.18000031,60.13999939,62.04000092,659722
47,4401,CL=F,Crude Oil,2018,12-03-2018,62.09999847,62.33000183,60.66999817,61.36000061,537990
48,4402,CL=F,Crude Oil,2018,13-03-2018,61.36999893,61.97000122,60.27000046,60.70999908,747738
49,4403,CL=F,Crude Oil,2018,14-03-2018,60.86999893,61.33000183,60.11000061,60.95999908,665017
50,4404,CL=F,Crude Oil,2018,15-03-2018,60.95000076,61.54000092,60.81999969,61.18999863,430201
51,4405,CL=F,Crude Oil,2018,16-03-2018,61.18999863,62.54000092,61.08000183,62.34000015,202493
52,4406,CL=F,Crude Oil,2018,19-03-2018,62.22999954,62.34999847,61.36000061,62.06000137,115962
53,4407,CL=F,Crude Oil,2018,20-03-2018,62.09999847,63.81000137,62.08000183,63.40000153,717709
54,4408,CL=F,Crude Oil,2018,21-03-2018,63.72000122,65.55000305,63.58000183,65.16999817,763768
55,4409,CL=F,Crude Oil,2018,22-03-2018,65.5,65.73999786,64.13999939,64.30000305,689172
56,4410,CL=F,Crude Oil,2018,23-03-2018,64.27999878,66.0,64.11000061,65.87999725,752994
57,4411,CL=F,Crude Oil,2018,26-03-2018,65.90000153,66.55000305,65.08000183,65.55000305,585899
58,4412,CL=F,Crude Oil,2018,27-03-2018,65.52999878,66.41000366,64.52999878,65.25,670811
59,4413,CL=F,Crude Oil,2018,28-03-2018,64.69999695,65.12999725,63.72000122,64.37999725,697678
60,4414,CL=F,Crude Oil,2018,29-03-2018,64.69000244,65.26000214,64.16000366,64.94000244,562819
61,4415,CL=F,Crude Oil,2018,02-04-2018,64.91000366,65.41999817,62.79999924,63.00999832,582742
62,4416,CL=F,Crude Oil,2018,03-04-2018,62.88999939,63.86000061,62.86000061,63.50999832,527289
63,4417,CL=F,Crude Oil,2018,04-04-2018,63.59000015,63.63999939,62.06000137,63.36999893,760596
64,4418,CL=F,Crude Oil,2018,05-04-2018,63.59999847,64.12000275,63.06999969,63.54000092,588597
65,4419,CL=F,Crude Oil,2018,06-04-2018,63.70000076,63.79000092,61.81000137,62.06000137,753262
66,4420,CL=F,Crude Oil,2018,09-04-2018,62.0,63.61000061,61.93000031,63.41999817,655831
67,4421,CL=F,Crude Oil,2018,10-04-2018,63.29999924,65.86000061,63.20000076,65.51000214,840280
68,4422,CL=F,Crude Oil,2018,11-04-2018,65.58999634,67.44999695,65.15000153,66.81999969,963017
69,4423,CL=F,Crude Oil,2018,12-04-2018,66.75,67.33000183,66.0,67.06999969,687468
70,4424,CL=F,Crude Oil,2018,13-04-2018,67.18000031,67.76000214,66.69999695,67.38999939,624203
71,4425,CL=F,Crude Oil,2018,16-04-2018,67.23999786,67.73999786,66.12999725,66.22000122,560076
72,4426,CL=F,Crude Oil,2018,17-04-2018,66.41999817,66.75,65.55999756,66.51999664,486076
73,4427,CL=F,Crude Oil,2018,18-04-2018,66.68000031,68.91000366,66.55999756,68.47000122,221664
74,4428,CL=F,Crude Oil,2018,19-04-2018,68.75,69.55999756,67.98000336,68.29000092,125993
75,4429,CL=F,Crude Oil,2018,20-04-2018,68.26000214,68.62000275,67.5,68.37999725,724906
76,4430,CL=F,Crude Oil,2018,23-04-2018,68.22000122,69.02999878,67.13999939,68.63999939,740941
77,4431,CL=F,Crude Oil,2018,24-04-2018,68.94999695,69.37999725,67.54000092,67.69999695,832296
78,4432,CL=F,Crude Oil,2018,25-04-2018,67.75,68.18000031,67.11000061,68.05000305,764049
79,4433,CL=F,Crude Oil,2018,26-04-2018,68.02999878,68.77999878,67.70999908,68.19000244,660549
80,4434,CL=F,Crude Oil,2018,27-04-2018,68.20999908,68.36000061,67.63999939,68.09999847,542549
81,4435,CL=F,Crude Oil,2018,30-04-2018,68.15000153,69.33999634,67.16999817,68.56999969,755186
82,4436,CL=F,Crude Oil,2018,01-05-2018,68.55999756,68.90000153,66.84999847,67.25,694771
83,4437,CL=F,Crude Oil,2018,02-05-2018,67.48999786,68.13999939,66.91999817,67.93000031,789367
84,4438,CL=F,Crude Oil,2018,03-05-2018,67.68000031,68.59999847,67.20999908,68.43000031,691219
85,4439,CL=F,Crude Oil,2018,04-05-2018,68.5,69.97000122,68.12000275,69.72000122,690876
86,4440,CL=F,Crude Oil,2018,07-05-2018,69.84999847,70.83999634,69.51000214,70.73000336,758916
87,4441,CL=F,Crude Oil,2018,08-05-2018,70.02999878,70.40000153,67.62999725,69.05999756,1253566
88,4442,CL=F,Crude Oil,2018,09-05-2018,70.05000305,71.36000061,69.84999847,71.13999939,863386
89,4443,CL=F,Crude Oil,2018,10-05-2018,71.23000336,71.88999939,70.55999756,71.36000061,749808
90,4444,CL=F,Crude Oil,2018,11-05-2018,71.44999695,71.62999725,70.44999695,70.69999695,634145
91,4445,CL=F,Crude Oil,2018,14-05-2018,70.54000092,71.26000214,70.26000214,70.95999908,592826
92,4446,CL=F,Crude Oil,2018,15-05-2018,71.15000153,71.91999817,70.41999817,71.30999756,815289
93,4447,CL=F,Crude Oil,2018,16-05-2018,71.01999664,71.58999634,70.66000366,71.48999786,574279
94,4448,CL=F,Crude Oil,2018,17-05-2018,71.55999756,72.30000305,71.08999634,71.48999786,562639
95,4449,CL=F,Crude Oil,2018,18-05-2018,71.59999847,71.75,70.98999786,71.27999878,211785
96,4450,CL=F,Crude Oil,2018,21-05-2018,71.47000122,72.58999634,71.25,72.23999786,119892
97,4451,CL=F,Crude Oil,2018,22-05-2018,72.52999878,72.83000183,71.90000153,72.12999725,723458
98,4452,CL=F,Crude Oil,2018,23-05-2018,72.11000061,72.26000214,71.19000244,71.83999634,702791
99,4453,CL=F,Crude Oil,2018,24-05-2018,71.83000183,72.0,70.51999664,70.70999908,640725
100,4454,CL=F,Crude Oil,2018,25-05-2018,70.65000153,70.80000305,67.41999817,67.87999725,955354
101,4455,CL=F,Crude Oil,2018,29-05-2018,66.48999786,67.34999847,65.91999817,66.73000336,1059750
102,4456,CL=F,Crude Oil,2018,30-05-2018,66.84999847,68.66999817,66.34999847,68.20999908,726886
103,4457,CL=F,Crude Oil,2018,31-05-2018,68.23999786,68.30000305,66.55999756,67.04000092,917563
104,4458,CL=F,Crude Oil,2018,01-06-2018,67.06999969,67.33999634,65.51000214,65.80999756,781103
105,4459,CL=F,Crude Oil,2018,04-06-2018,65.70999908,66.04000092,64.56999969,64.75,696050
106,4460,CL=F,Crude Oil,2018,05-06-2018,64.94000244,65.56999969,64.22000122,65.51999664,714674
107,4461,CL=F,Crude Oil,2018,06-06-2018,65.51000214,65.95999908,64.26999664,64.73000336,708829
108,4462,CL=F,Crude Oil,2018,07-06-2018,65.06999969,66.06999969,64.80999756,65.94999695,675041
109,4463,CL=F,Crude Oil,2018,08-06-2018,65.98000336,66.23999786,65.15000153,65.73999786,571224
110,4464,CL=F,Crude Oil,2018,11-06-2018,65.55999756,66.34999847,64.84999847,66.09999847,558281
111,4465,CL=F,Crude Oil,2018,12-06-2018,66.05000305,66.69999695,65.87000275,66.36000061,524411
112,4466,CL=F,Crude Oil,2018,13-06-2018,66.01000214,66.88999939,65.51999664,66.63999939,626398
113,4467,CL=F,Crude Oil,2018,14-06-2018,66.62000275,67.16000366,66.36000061,66.88999939,460168
114,4468,CL=F,Crude Oil,2018,15-06-2018,66.62000275,67.16000366,64.29000092,65.05999756,512591
115,4469,CL=F,Crude Oil,2018,18-06-2018,64.40000153,65.98000336,63.59000015,65.84999847,218933
116,4470,CL=F,Crude Oil,2018,19-06-2018,65.81999969,65.90000153,64.38999939,65.06999969,122646
117,4471,CL=F,Crude Oil,2018,20-06-2018,65.11000061,66.52999878,65.01000214,66.22000122,801625
118,4472,CL=F,Crude Oil,2018,21-06-2018,65.33999634,66.22000122,64.33999634,65.54000092,760719
119,4473,CL=F,Crude Oil,2018,22-06-2018,65.93000031,69.37999725,65.70999908,68.58000183,1136232
120,4474,CL=F,Crude Oil,2018,25-06-2018,68.75,69.44000244,67.77999878,68.08000183,816207
121,4475,CL=F,Crude Oil,2018,26-06-2018,68.20999908,70.91000366,67.72000122,70.52999878,848537
122,4476,CL=F,Crude Oil,2018,27-06-2018,70.68000031,73.05999756,70.55999756,72.76000214,775155
123,4477,CL=F,Crude Oil,2018,28-06-2018,72.26999664,74.02999878,72.19999695,73.44999695,717347
124,4478,CL=F,Crude Oil,2018,29-06-2018,73.33000183,74.45999908,72.93000031,74.15000153,602399
125,4479,CL=F,Crude Oil,2018,02-07-2018,73.62000275,74.34999847,72.51000214,73.94000244,652167
126,4480,CL=F,Crude Oil,2018,03-07-2018,74.08000183,75.26999664,72.73000336,74.13999939,667235
127,4481,CL=F,Crude Oil,2018,05-07-2018,74.34999847,74.80000305,72.52999878,72.94000244,841632
128,4482,CL=F,Crude Oil,2018,06-07-2018,73.16000366,74.01000214,72.13999939,73.80000305,611419
129,4483,CL=F,Crude Oil,2018,09-07-2018,73.87000275,74.27999878,72.98999786,73.84999847,533003
130,4484,CL=F,Crude Oil,2018,10-07-2018,74.04000092,74.69999695,73.65000153,74.11000061,586829
131,4485,CL=F,Crude Oil,2018,11-07-2018,74.19999695,74.26000214,70.01999664,70.37999725,861726
132,4486,CL=F,Crude Oil,2018,12-07-2018,70.59999847,71.23999786,69.23000336,70.33000183,707887
133,4487,CL=F,Crude Oil,2018,13-07-2018,70.37999725,71.66000366,69.83999634,71.01000214,530277
134,4488,CL=F,Crude Oil,2018,16-07-2018,70.51999664,70.87000275,67.58000183,68.05999756,530480
135,4489,CL=F,Crude Oil,2018,17-07-2018,68.02999878,68.44000244,67.02999878,68.08000183,440727
136,4490,CL=F,Crude Oil,2018,18-07-2018,67.61000061,69.05999756,67.04000092,68.76000214,187313
137,4491,CL=F,Crude Oil,2018,19-07-2018,69.0,70.16999817,67.80000305,69.45999908,103220
138,4492,CL=F,Crude Oil,2018,20-07-2018,69.38999939,71.09999847,69.37000275,70.45999908,500967
139,4493,CL=F,Crude Oil,2018,23-07-2018,68.16999817,69.30999756,67.59999847,67.88999939,555915
140,4494,CL=F,Crude Oil,2018,24-07-2018,67.80000305,69.05000305,67.55999756,68.51999664,524591
141,4495,CL=F,Crude Oil,2018,25-07-2018,68.76999664,69.69999695,68.19999695,69.30000305,622913
142,4496,CL=F,Crude Oil,2018,26-07-2018,69.37999725,69.91999817,68.91999817,69.61000061,489059
143,4497,CL=F,Crude Oil,2018,27-07-2018,69.58000183,69.76999664,68.26000214,68.69000244,460450
144,4498,CL=F,Crude Oil,2018,30-07-2018,69.01000214,70.43000031,68.80000305,70.12999725,463011
145,4499,CL=F,Crude Oil,2018,31-07-2018,70.05000305,70.22000122,67.98000336,68.76000214,519070
146,4500,CL=F,Crude Oil,2018,01-08-2018,68.43000031,68.51999664,67.30999756,67.66000366,576561
147,4501,CL=F,Crude Oil,2018,02-08-2018,67.86000061,69.36000061,66.91999817,68.95999908,531071
148,4502,CL=F,Crude Oil,2018,03-08-2018,68.98999786,69.23999786,67.87000275,68.48999786,476615
149,4503,CL=F,Crude Oil,2018,06-08-2018,68.65000153,69.91999817,68.5,69.01000214,495605
150,4504,CL=F,Crude Oil,2018,07-08-2018,68.90000153,69.83000183,68.80999756,69.16999817,485027
151,4505,CL=F,Crude Oil,2018,08-08-2018,69.08999634,69.37000275,66.31999969,66.94000244,760313
152,4506,CL=F,Crude Oil,2018,09-08-2018,66.79000092,67.41000366,66.48999786,66.80999756,509401
153,4507,CL=F,Crude Oil,2018,10-08-2018,66.73999786,67.87000275,66.13999939,67.62999725,524490
154,4508,CL=F,Crude Oil,2018,13-08-2018,67.77999878,67.94999695,65.70999908,67.19999695,578219
155,4509,CL=F,Crude Oil,2018,14-08-2018,67.41999817,68.37000275,66.58000183,67.04000092,538484
156,4510,CL=F,Crude Oil,2018,15-08-2018,66.62000275,66.90000153,64.51000214,65.01000214,573473
157,4511,CL=F,Crude Oil,2018,16-08-2018,64.94999695,65.51999664,64.43000031,65.45999908,383380
158,4512,CL=F,Crude Oil,2018,17-08-2018,65.47000122,66.38999939,65.30000305,65.91000366,171403
159,4513,CL=F,Crude Oil,2018,20-08-2018,65.91000366,66.68000031,65.58999634,66.43000031,112709
160,4514,CL=F,Crude Oil,2018,21-08-2018,66.62000275,68.09999847,66.51999664,67.34999847,437164
161,4515,CL=F,Crude Oil,2018,22-08-2018,66.08000183,68.15000153,65.98000336,67.86000061,581899
162,4516,CL=F,Crude Oil,2018,23-08-2018,68.06999969,68.12000275,67.31999969,67.83000183,450690
163,4517,CL=F,Crude Oil,2018,24-08-2018,67.90000153,69.30999756,67.77999878,68.72000122,517796
164,4518,CL=F,Crude Oil,2018,27-08-2018,68.56999969,68.97000122,68.33999634,68.87000275,332612
165,4519,CL=F,Crude Oil,2018,28-08-2018,68.93000031,69.19999695,68.20999908,68.52999878,426833
166,4520,CL=F,Crude Oil,2018,29-08-2018,68.54000092,69.76000214,68.37000275,69.51000214,497095
167,4521,CL=F,Crude Oil,2018,30-08-2018,69.70999908,70.5,69.55000305,70.25,445584
168,4522,CL=F,Crude Oil,2018,31-08-2018,70.05999756,70.36000061,69.63999939,69.80000305,419739
169,4523,CL=F,Crude Oil,2018,04-09-2018,70.12000275,71.40000153,69.08000183,69.87000275,785981
170,4524,CL=F,Crude Oil,2018,05-09-2018,69.43000031,69.58999634,68.55999756,68.72000122,542104
171,4525,CL=F,Crude Oil,2018,06-09-2018,68.63999939,69.01999664,67.0,67.76999664,633824
172,4526,CL=F,Crude Oil,2018,07-09-2018,67.87999725,68.08000183,66.86000061,67.75,530895
173,4527,CL=F,Crude Oil,2018,10-09-2018,67.81999969,68.51999664,67.33000183,67.54000092,571174
